kemudahan_navigasi,atraktif_desain,mudah_digunakan,fitur_berfungsi,antarmuka_jelas_dan_menarik,mudah_dipelajari,efisien,akses_standar,mudah_diingat,keamanan,bantuan_dan_dukungan,kepuasan_dan_kesan
3.75,3.5,3.25,3.75,2.75,3.5,2.5,4,3.5,3,2,3.5
4,3.666666667,3.333333333,3,3,3.666666667,2.25,3,3.166666667,3,3.25,4
2.75,3,3,3.5,3,2.666666667,2,2.5,3,1.5,1.75,2.5
3,2,3.083333334,3.5,2.75,2.5,3,3.5,3.5,3,3,3.5
1.75,2.333333334,3.25,3,1.75,2.666666667,2.25,2.5,2.833333334,2,1.75,2.5
3,3,2.666666667,2.25,2.25,2,1,3,2.5,3.5,2,3
3,3,2.916666667,3.25,2.25,3,2.25,3,3,2.5,2.5,3
3.75,3.833333334,3.75,4,4,4,4,4,4,4,4,4
3.5,3.166666667,4,4,3.25,3.166666667,1.75,3.5,3.5,4,2,3.5
3.25,3.5,3.666666667,3.5,3,3,2.75,3,2.666666667,3,2.5,3
3.5,3.5,3.5,3,2.75,3.666666667,3,3,3,4,3,3.5
3.25,3.166666667,3.666666667,3.5,3,3,3,3,3,3,3,3
3,2.666666667,3,3,2,3,2.5,3,2.666666667,2,3,3
3.25,2.666666667,3.166666667,3.5,2.25,3.333333334,3.75,3,3.5,4,3,3.5
3.25,2.333333334,2.916666667,2.25,2,2.833333334,2,2.5,2.166666667,2,2,3
3,2.5,3.166666667,3.5,2.75,2.5,2,2,2.5,2,2.25,3
3.5,3.5,3.25,2.5,3.75,4,2.25,4,4,3,3,3
3,3,3,3,2.75,3,2.5,3,3,2.5,3,3
2.75,3,2.75,2.75,2.5,3,2.5,3,3,2.5,2.5,3
3,2.333333334,3.083333334,3.5,2.5,3.166666667,2.5,2.5,3.5,2,4,2
3,3,3.083333334,3,3,3,3,3,3,3,2,3
3,2.833333334,3.25,3,3,2.666666667,2.5,3,3,2.5,2.25,3
3,3,2.5,2.5,3,2.666666667,2.5,3,2.833333334,3,2.5,3
3.25,3.333333334,2.916666667,3.25,2,3.166666667,1.75,3,3.666666667,3,2.5,3
3,3.333333334,3,3.25,2.5,3.166666667,2.25,3,3.166666667,3,2.25,3
3.25,3,3.25,3,3.5,3.5,2.75,3,3.333333333,3,3,3
3,3.333333334,3.75,3.5,3.5,3,3,3,3.166666667,3,3.5,3.5
3.25,3,3,3,3,3,3.5,3.5,3,3,3,3
3.75,3.5,3.5,3.75,3.5,2.833333334,2.5,3,3.166666667,3,3,3
3,3,3.166666667,2.75,2.75,3,2.75,3,3,3,3,3
3,2.666666667,3.416666667,3.5,2.75,3.5,3.75,3,3,3,3.25,3
4,3.666666667,3.416666667,4,3.5,4,3.5,3.5,3.5,4,4,4
3,3,3.75,3.5,3.5,3.166666667,2.5,3,3,3,3,3
4,3.833333334,3.416666667,3.75,3.5,3.833333334,4,4,3.666666667,4,4,4
3,2.666666667,2.5,3,2.75,3,2.5,3,2.833333334,3,2.5,2.5